iter	Passed	Remaining
0	84	253976
1	153	230412
2	220	220087
3	287	215650
4	353	211705
5	426	212658
6	494	211446
7	558	208863
8	621	206394
9	686	205162
10	752	204412
11	818	203720
12	919	211205
13	981	209346
14	1055	209984
15	1115	207987
16	1178	206731
17	1252	207446
18	1313	206016
19	1391	207364
20	1466	208006
21	1536	207954
22	1601	207279
23	1664	206453
24	1728	205672
25	1791	204905
26	1855	204266
27	1920	203842
28	1984	203342
29	2048	202827
30	2110	202109
31	2170	201359
32	2230	200577
33	2295	200234
34	2352	199327
35	2411	198559
36	2471	197945
37	2543	198262
38	2606	197864
39	2667	197392
40	2729	196989
41	2791	196618
42	2863	196897
43	2929	196833
44	2998	196912
45	3072	197333
46	3144	197551
47	3213	197629
48	3319	199935
49	3429	202358
50	3550	205273
51	3664	207742
52	3776	209963
53	3886	212005
54	4003	214369
55	4124	216809
56	4244	219141
57	4362	221291
58	4481	223376
59	4598	225350
60	4713	227107
61	4840	229371
62	4956	231056
63	5100	233964
64	5219	235663
65	5331	237011
66	5442	238272
67	5556	239562
68	5665	240652
69	5781	241987
70	5891	243046
71	6013	244562
72	6128	245735
73	6247	247015
74	6366	248303
75	6482	249421
76	6600	250547
77	6715	251582
78	6832	252614
79	6947	253573
80	7064	254568
81	7184	255652
82	7297	256465
83	7408	257164
84	7522	257990
85	7642	258972
86	7764	259983
87	7876	260624
88	8007	261916
89	8134	263005
90	8252	263805
91	8385	265043
92	8501	265724
93	8615	266334
94	8730	266957
95	8842	267485
96	8958	268111
97	9080	268879
98	9204	269718
99	9330	270575
100	9450	271248
101	9577	272124
102	9696	272723
103	9808	273117
104	9917	273436
105	10031	273870
106	10141	274196
107	10258	274704
108	10379	275291
109	10493	275683
110	10616	276326
111	10742	277000
112	10859	277455
113	10973	277814
114	11091	278254
115	11211	278744
116	11329	279160
117	11441	279451
118	11567	280041
119	11681	280361
120	11795	280657
121	11908	280922
122	12022	281219
123	12137	281502
124	12258	281944
125	12382	282448
