연도,행정동코드,행정동명,업종,예측_총매출,순위
2025,11110515,청운효자동,전자상거래업,297200058.8355522,1.0
2025,11110515,청운효자동,일반교습학원,1082114603.655777,2.0
2025,11110515,청운효자동,스포츠 강습,138783903.17736435,3.0
2025,11110515,청운효자동,운동/경기용품,49115378148.19429,4.0
2025,11110515,청운효자동,호프-간이주점,778715115.3056793,5.0
2025,11110515,청운효자동,한식음식점,3827908320.483078,6.0
2025,11110515,청운효자동,인테리어,138473326.26603317,7.0
2025,11110515,청운효자동,육류판매,412423728.0366974,8.0
2025,11110515,청운효자동,청과상,1145032934.5830688,9.0
2025,11110515,청운효자동,가전제품수리,410143904.2149811,10.0
2025,11110515,청운효자동,커피-음료,757405932.5674896,11.0
2025,11110515,청운효자동,양식음식점,982921843.7017212,12.0
2025,11110515,청운효자동,일식음식점,791827547.2998657,13.0
2025,11110515,청운효자동,화초,133585584.59376144,14.0
2025,11110515,청운효자동,반찬가게,868710442.5795593,15.0
2025,11110515,청운효자동,치킨전문점,123640316.74771118,16.0
2025,11110515,청운효자동,수산물판매,3588612288.268509,17.0
2025,11110515,청운효자동,의약품,2014787239.4835052,18.0
2025,11110515,청운효자동,일반의원,2019301639.0811615,19.0
2025,11110515,청운효자동,편의점,1037883435.9476776,20.0
2025,11110515,청운효자동,분식전문점,505928313.85606384,21.0
2025,11110515,청운효자동,피부관리실,133167937.1914177,22.0
2025,11110515,청운효자동,가전제품,5047913812.406265,23.0
2025,11110515,청운효자동,컴퓨터및주변장치판매,4808838299.785416,24.0
2025,11110515,청운효자동,가구,4794546457.379166,25.0
2025,11110515,청운효자동,세탁소,105374862.80894089,26.0
2025,11110515,청운효자동,자동차미용,410143904.2149811,27.0
2025,11110515,청운효자동,의료기기,3225941170.0298004,28.0
2025,11110515,청운효자동,예술학원,131458339.23760605,29.0
2025,11110515,청운효자동,슈퍼마켓,1804183351.5206757,30.0
2025,11110515,청운효자동,완구,2761158814.4277496,31.0
2025,11110515,청운효자동,서적,1233667478.4342346,32.0
2025,11110515,청운효자동,일반의류,1693719430.8022614,33.0
2025,11110515,청운효자동,치과의원,301247716.89772034,34.0
2025,11110515,청운효자동,자전거 및 기타운송장비,1169023850.843277,35.0
2025,11110515,청운효자동,애완동물,1102719044.7735748,36.0
2025,11110515,청운효자동,고시원,1092223144.808731,37.0
2025,11110515,청운효자동,조명용품,646712914.6041565,38.0
2025,11110515,청운효자동,골프연습장,630095227.4937553,39.0
2025,11110515,청운효자동,중식음식점,4891111.116638184,40.0
2025,11110515,청운효자동,여관,499564254.9106865,41.0
2025,11110515,청운효자동,PC방,482174628.3399048,42.0
2025,11110515,청운효자동,가방,437283040.64649963,43.0
2025,11110515,청운효자동,스포츠클럽,412793002.6437073,44.0
2025,11110515,청운효자동,화장품,409866883.8708191,45.0
2025,11110515,청운효자동,부동산중개업,391072049.20118713,46.0
2025,11110515,청운효자동,안경,351584674.2196655,47.0
2025,11110515,청운효자동,핸드폰,341039040.1268883,48.0
2025,11110515,청운효자동,자동차수리,281196412.705719,49.0
2025,11110515,청운효자동,노래방,245817371.43606567,50.0
2025,11110515,청운효자동,네일숍,181922666.92277145,51.0
2025,11110515,청운효자동,당구장,166029359.63331223,52.0
2025,11110515,청운효자동,패스트푸드점,103247072.31460571,53.0
2025,11110515,청운효자동,한의원,3463778.362045288,54.0
2025,11110515,청운효자동,철물점,94830538.32232285,55.0
2025,11110515,청운효자동,시계및귀금속,137918179.01603317,56.0
2025,11110515,청운효자동,제과점,541654418.353836,57.0
2025,11110515,청운효자동,문구,218613182.36309814,58.0
2025,11110515,청운효자동,섬유제품,248108291.70713425,59.0
