iter	RMSE
0	9950239427
1	9944793515
2	9938720198
3	9933455739
4	9923480088
5	9917343342
6	9912906988
7	9903976191
8	9895566904
9	9889806314
10	9884837593
11	9880033245
12	9876757108
13	9871691848
14	9867315979
15	9862894832
16	9859665360
17	9856101975
18	9851996967
19	9848562138
20	9843860764
21	9838797187
22	9830814378
23	9826365509
24	9817880134
25	9813239862
26	9808593999
27	9804217146
28	9800569030
29	9796381254
30	9792441117
31	9788066115
32	9783606318
33	9780323989
34	9775742549
35	9771761709
36	9767221720
37	9762986093
38	9758757161
39	9754545744
40	9751546803
41	9748625521
42	9744817601
43	9742331342
44	9739228895
45	9735785641
46	9732327479
47	9728779647
48	9724802416
49	9721242131
50	9715245047
51	9709480954
52	9706268495
53	9703816408
54	9701771097
55	9699565684
56	9696597827
57	9693729849
58	9689622508
59	9686496875
60	9683929148
61	9681819435
62	9678141816
63	9676328585
64	9672951318
65	9670834617
66	9668935621
67	9667059220
68	9664347328
69	9660892324
70	9659122980
71	9655550550
72	9653754927
73	9650586041
74	9647858298
75	9645333234
76	9641995198
77	9636074955
78	9634642723
79	9627686805
80	9624633918
81	9622905499
82	9621576600
83	9619692404
84	9616978988
85	9615539871
86	9612825860
87	9610735482
88	9603677569
89	9602455847
90	9600427105
91	9597921661
92	9596695158
93	9595351637
94	9593560369
95	9591059498
96	9588526423
97	9585794339
98	9583004709
99	9581887239
100	9580750809
101	9578543900
102	9575150405
103	9573867641
104	9572512218
105	9570996236
106	9568993310
107	9567885517
108	9565774874
109	9564711687
110	9563413592
111	9561187586
112	9556515904
113	9553104125
114	9550000947
115	9548062802
116	9546537995
117	9544114374
118	9540580337
119	9538810791
120	9537312734
121	9531791637
122	9526494596
123	9525479183
124	9524588385
125	9523521184
126	9520426731
127	9515344177
128	9512492746
129	9508844796
130	9503982967
131	9503254880
132	9502103495
133	9496965543
134	9491151939
135	9490120460
136	9487496660
137	9486144111
138	9482844579
139	9481842933
140	9476701904
141	9474737340
142	9471732150
143	9469583368
144	9464846531
145	9459883458
146	9457740202
147	9455053109
148	9453318934
149	9452059572
150	9449522133
151	9447516958
152	9443768669
153	9442003614
154	9439236767
155	9436866176
156	9433676806
157	9429256913
158	9428044089
159	9424524251
160	9423626856
161	9418939693
162	9417341223
163	9415098074
164	9412829622
165	9409331230
166	9407312767
167	9403122822
168	9400761725
169	9398260642
170	9396827904
171	9395133795
172	9391757073
173	9390532608
174	9388908017
175	9387156597
176	9383324742
177	9381856589
178	9378626611
179	9374830055
180	9372036268
181	9367794102
182	9366409154
183	9363579360
184	9361869451
185	9360979689
186	9356527235
187	9355896845
188	9355262557
189	9354032127
190	9351963443
191	9350031447
192	9346550828
193	9346009453
194	9341089020
195	9338942277
196	9337055743
197	9334875663
198	9333006150
199	9332273646
200	9331525618
201	9328561469
202	9327126952
203	9326156794
204	9323771742
205	9321626966
206	9320271787
207	9319476335
208	9318880670
209	9315105649
210	9311121927
211	9310557625
212	9309195467
213	9306704073
214	9304553573
215	9301307494
216	9300802878
217	9297886249
218	9296585530
219	9295979440
220	9294432688
221	9292304438
222	9288493815
223	9285762229
224	9283853827
225	9278259087
226	9277047167
227	9273314977
228	9271420478
229	9270899864
230	9268957559
231	9268187651
232	9265396457
233	9262072227
234	9261348198
235	9257713414
236	9253177076
237	9248878892
238	9247638210
239	9246740158
240	9245690718
241	9244458015
242	9243417625
243	9242436879
244	9239989965
245	9237375643
246	9235306374
247	9234098134
248	9233655374
249	9231909976
250	9226848983
251	9225509666
252	9223870454
253	9223540048
254	9219450229
255	9217621142
256	9215902523
257	9213636239
258	9212535728
259	9211085552
260	9210008242
261	9209127014
262	9206340225
263	9204733783
264	9201268184
265	9197841715
266	9196870595
267	9195992635
268	9194912350
269	9193405956
270	9191798763
271	9191235893
272	9190313604
273	9187020514
274	9185747002
275	9182235243
276	9180872186
277	9177590830
278	9174174578
279	9173214567
280	9172156716
281	9171266101
282	9169576025
283	9167468443
284	9167118444
285	9165828540
286	9165484232
287	9164890369
288	9164183195
289	9163389036
290	9162750508
291	9161436359
292	9160062328
293	9156973871
294	9155797432
295	9152550148
296	9150876634
297	9149250746
298	9147951648
299	9147444640
300	9145962900
301	9145261850
302	9142737016
303	9140897438
304	9138841857
305	9136001425
306	9132563233
307	9129898694
308	9128289138
309	9125886132
310	9124925909
311	9123174617
312	9120454383
313	9119550806
314	9119116180
315	9118561912
316	9117342767
317	9114455134
318	9112935440
319	9109899558
320	9109178974
321	9108189868
322	9106259492
323	9102359395
324	9100063310
325	9099169909
326	9095775163
327	9095139823
328	9092820547
329	9092532084
330	9092272307
331	9088060195
332	9085383521
333	9082067053
334	9081284662
335	9079717537
336	9078969795
337	9077457309
338	9076963487
339	9076600213
340	9075349435
341	9074374994
