iter	Passed	Remaining
0	24	74667
1	32	47974
2	40	40341
3	48	36515
4	55	33218
5	62	31262
6	69	29526
7	75	28251
8	81	27250
9	88	26556
10	95	25868
11	101	25334
12	110	25345
13	116	24906
14	124	24866
15	131	24500
16	140	24679
17	147	24353
18	153	24102
19	160	23873
20	169	24072
21	176	23825
22	182	23588
23	188	23412
24	195	23272
25	202	23115
26	209	23101
27	216	23006
28	224	22968
29	231	22895
30	237	22761
31	252	23400
32	266	23948
33	275	24022
34	282	23889
35	288	23752
36	298	23867
37	304	23770
38	311	23683
39	318	23545
40	327	23609
41	336	23715
42	345	23734
43	352	23666
44	358	23560
45	365	23484
46	375	23596
47	382	23540
48	391	23556
49	398	23532
50	405	23434
51	411	23351
52	420	23355
53	426	23276
54	434	23280
55	441	23204
56	448	23131
57	456	23148
58	464	23148
59	471	23104
60	478	23044
61	486	23047
62	492	22977
63	506	23239
64	515	23273
65	524	23327
66	532	23321
67	540	23300
68	550	23376
69	557	23349
70	564	23305
71	573	23304
72	580	23285
73	587	23234
74	596	23261
75	604	23262
76	613	23270
77	621	23296
78	630	23306
79	637	23270
80	644	23238
81	652	23210
82	662	23277
83	669	23233
84	675	23181
85	682	23133
86	691	23155
87	701	23208
88	708	23189
89	715	23148
90	722	23097
91	728	23038
92	736	23008
93	744	23002
94	751	22986
95	758	22933
96	764	22885
97	771	22832
98	778	22816
99	786	22805
100	793	22785
101	802	22807
102	816	22958
103	825	22976
104	831	22939
105	839	22921
106	848	22941
107	855	22900
108	862	22868
109	873	22958
110	881	22951
111	888	22918
112	898	22947
113	908	22994
114	916	22981
115	922	22933
116	928	22889
117	936	22862
118	943	22851
119	959	23028
120	966	22999
121	973	22975
122	981	22960
123	989	22943
124	996	22923
125	1003	22894
126	1011	22879
127	1019	22869
128	1030	22930
129	1038	22923
130	1045	22898
131	1054	22921
132	1062	22893
133	1068	22856
134	1077	22869
135	1086	22881
136	1093	22852
137	1099	22810
138	1107	22797
139	1119	22864
140	1127	22860
141	1136	22871
142	1147	22934
143	1155	22926
144	1163	22918
145	1171	22908
146	1181	22927
147	1189	22924
148	1198	22930
149	1204	22890
150	1216	22952
151	1228	23015
152	1244	23148
153	1250	23109
154	1258	23094
155	1266	23091
156	1276	23115
157	1286	23139
158	1293	23120
159	1301	23097
160	1312	23138
161	1319	23121
162	1326	23091
163	1335	23088
164	1342	23067
165	1356	23165
166	1364	23150
167	1371	23116
168	1378	23096
169	1386	23084
170	1397	23114
171	1403	23081
172	1412	23085
173	1419	23061
174	1428	23066
175	1439	23090
176	1450	23129
177	1458	23128
178	1467	23123
179	1480	23190
180	1490	23207
181	1498	23195
182	1509	23230
183	1517	23223
184	1524	23203
185	1532	23179
186	1539	23160
187	1551	23199
188	1558	23178
189	1565	23145
190	1573	23135
191	1580	23116
192	1589	23111
193	1598	23116
194	1604	23081
195	1611	23060
196	1619	23040
197	1628	23040
198	1637	23055
199	1645	23040
200	1652	23011
201	1661	23017
202	1671	23028
203	1679	23018
204	1687	23010
205	1696	23010
206	1717	23176
207	1725	23155
208	1731	23121
209	1737	23089
210	1746	23091
211	1757	23112
212	1766	23120
213	1774	23101
214	1781	23083
215	1794	23123
216	1801	23110
217	1812	23132
218	1819	23100
219	1827	23088
220	1836	23093
221	1845	23087
222	1854	23097
223	1862	23081
224	1871	23087
225	1881	23091
226	1889	23076
227	1897	23073
228	1906	23074
229	1916	23082
230	1925	23078
231	1936	23105
232	1947	23127
233	1954	23105
234	1961	23073
235	1969	23072
236	1976	23040
237	1986	23052
238	1994	23038
239	2000	23008
240	2007	22978
241	2017	22996
242	2028	23010
243	2036	23007
244	2047	23027
245	2059	23060
246	2069	23061
247	2078	23070
248	2087	23062
249	2095	23050
250	2105	23055
251	2112	23033
252	2119	23011
253	2125	22976
254	2137	23012
255	2148	23025
256	2155	23009
257	2163	22994
258	2172	22995
259	2182	23000
260	2190	22990
261	2200	22996
262	2210	23000
263	2224	23052
264	2232	23038
265	2241	23040
266	2248	23018
267	2256	23007
268	2268	23028
269	2276	23016
270	2284	23009
271	2292	22993
272	2302	23001
273	2311	22997
274	2319	22987
275	2330	22997
276	2337	22981
277	2350	23012
278	2358	23006
279	2368	23005
280	2375	22982
281	2385	22988
282	2392	22974
283	2401	22966
284	2409	22950
285	2424	23006
286	2433	23007
287	2449	23062
288	2461	23094
289	2469	23075
290	2478	23073
291	2487	23065
292	2501	23107
293	2514	23148
294	2529	23192
295	2539	23202
296	2551	23217
297	2559	23203
298	2567	23191
299	2575	23183
300	2586	23192
301	2593	23173
302	2601	23158
303	2610	23150
304	2622	23169
305	2630	23158
306	2639	23152
307	2646	23132
308	2653	23110
309	2663	23114
310	2671	23101
311	2678	23077
312	2686	23062
313	2692	23033
314	2700	23020
315	2708	23008
316	2716	22993
317	2722	22962
318	2731	22958
319	2741	22957
320	2747	22926
321	2758	22938
322	2765	22920
323	2772	22900
324	2781	22894
325	2790	22888
326	2796	22860
327	2803	22838
328	2811	22823
329	2822	22838
330	2830	22825
331	2840	22823
332	2848	22816
333	2858	22819
334	2866	22804
335	2876	22806
336	2884	22796
337	2890	22766
338	2899	22758
339	2905	22730
340	2912	22709
341	2919	22690
342	2927	22676
343	2937	22679
344	2947	22682
345	2954	22665
346	2963	22659
347	2974	22671
348	2982	22656
349	2989	22637
350	2995	22609
351	3005	22607
352	3015	22611
353	3022	22591
354	3028	22564
355	3036	22548
356	3042	22528
357	3049	22508
358	3058	22500
359	3064	22473
360	3071	22453
361	3078	22432
362	3086	22421
363	3095	22414
364	3103	22402
365	3110	22382
366	3117	22364
367	3125	22352
368	3135	22357
369	3146	22367
370	3152	22341
371	3165	22359
372	3180	22398
373	3192	22416
374	3199	22397
375	3211	22409
376	3217	22386
377	3226	22380
378	3234	22367
379	3241	22350
380	3253	22365
381	3259	22341
382	3268	22331
383	3277	22327
384	3286	22320
385	3297	22328
386	3305	22316
387	3312	22299
388	3319	22277
389	3326	22259
390	3336	22264
391	3344	22253
392	3352	22241
393	3360	22227
394	3375	22263
395	3382	22240
396	3388	22215
397	3395	22200
398	3403	22187
399	3414	22194
400	3421	22178
401	3429	22161
402	3436	22144
403	3451	22179
404	3460	22170
405	3467	22153
406	3475	22142
407	3482	22123
408	3493	22129
409	3500	22111
410	3510	22115
411	3519	22104
412	3529	22109
413	3537	22095
414	3545	22082
415	3553	22070
416	3560	22052
417	3569	22050
418	3577	22038
419	3585	22028
420	3594	22020
421	3608	22046
422	3615	22024
423	3624	22018
424	3631	21999
425	3639	21989
426	3648	21987
427	3656	21974
428	3664	21962
429	3672	21951
430	3679	21932
431	3688	21925
432	3695	21910
433	3706	21913
434	3718	21925
435	3730	21939
436	3740	21937
437	3749	21930
438	3759	21932
439	3772	21951
440	3782	21948
441	3789	21928
442	3797	21918
443	3808	21924
444	3818	21925
445	3827	21917
446	3839	21930
447	3849	21929
448	3860	21933
449	3871	21939
450	3880	21931
451	3892	21940
452	3899	21927
453	3910	21932
454	3920	21928
455	3935	21956
456	3951	21989
457	3965	22006
458	3975	22006
459	3983	21995
460	3993	21994
461	4005	22006
462	4015	22001
463	4024	21996
464	4035	21997
465	4045	21999
466	4054	21992
467	4063	21984
468	4076	22001
469	4089	22013
470	4098	22006
471	4106	21992
472	4115	21988
473	4128	21999
474	4138	21999
475	4148	21996
476	4156	21984
477	4172	22012
478	4179	21996
479	4188	21987
480	4198	21985
481	4207	21982
482	4216	21971
483	4227	21974
484	4235	21965
485	4246	21963
486	4255	21959
487	4262	21942
488	4270	21930
489	4280	21926
490	4288	21916
491	4296	21901
492	4305	21892
493	4316	21895
494	4330	21914
495	4339	21908
496	4347	21894
497	4355	21882
498	4366	21887
499	4374	21871
500	4384	21869
501	4393	21861
502	4404	21862
503	4413	21857
504	4422	21848
505	4432	21847
506	4447	21869
507	4455	21856
508	4462	21837
509	4469	21819
510	4478	21812
511	4487	21807
512	4497	21801
513	4506	21794
514	4513	21780
515	4527	21793
516	4535	21781
517	4542	21763
518	4549	21748
519	4558	21740
520	4568	21738
521	4574	21717
522	4582	21705
523	4610	21785
524	4617	21769
525	4625	21755
526	4632	21738
527	4642	21734
528	4650	21720
529	4657	21705
530	4665	21692
531	4682	21721
532	4689	21704
533	4699	21701
534	4706	21684
535	4716	21683
536	4722	21662
537	4731	21650
538	4739	21639
539	4747	21628
540	4756	21621
541	4764	21607
542	4773	21597
543	4781	21585
544	4787	21564
545	4799	21569
546	4806	21556
547	4814	21543
548	4823	21534
549	4832	21526
550	4841	21518
551	4847	21497
552	4856	21487
553	4862	21470
554	4871	21461
555	4880	21454
556	4887	21437
557	4893	21416
558	4903	21410
559	4911	21398
560	4919	21388
561	4927	21376
562	4933	21356
563	4941	21341
564	4949	21331
565	4961	21336
566	4972	21338
567	4980	21325
568	4989	21318
569	4998	21308
570	5005	21292
571	5013	21281
572	5022	21273
573	5030	21262
574	5040	21256
575	5046	21235
576	5055	21231
577	5068	21240
578	5078	21234
579	5086	21224
580	5094	21209
581	5102	21197
582	5112	21197
583	5120	21182
584	5127	21165
585	5134	21149
586	5141	21133
587	5152	21135
588	5161	21126
589	5170	21121
590	5179	21113
591	5191	21117
592	5200	21108
593	5208	21097
594	5217	21090
595	5228	21087
596	5238	21083
597	5244	21067
598	5253	21057
599	5260	21041
600	5266	21023
601	5277	21022
602	5284	21007
603	5292	20993
604	5300	20981
605	5312	20986
606	5320	20976
607	5329	20968
608	5336	20952
609	5344	20941
610	5355	20941
611	5363	20927
612	5371	20917
613	5377	20898
614	5385	20884
615	5396	20884
616	5412	20903
617	5420	20891
618	5426	20872
619	5436	20868
620	5444	20856
621	5451	20841
622	5459	20829
623	5468	20823
624	5479	20822
625	5486	20806
626	5495	20796
627	5503	20787
628	5516	20794
629	5523	20778
630	5530	20764
631	5536	20746
632	5545	20736
633	5555	20732
634	5563	20722
635	5572	20712
636	5579	20697
637	5590	20697
638	5600	20691
639	5607	20679
640	5615	20664
641	5622	20650
642	5632	20648
643	5640	20635
644	5649	20628
645	5660	20626
646	5672	20628
647	5682	20627
648	5692	20620
649	5701	20612
650	5712	20611
651	5722	20606
652	5730	20596
653	5738	20584
654	5749	20584
655	5757	20571
656	5765	20559
657	5772	20547
658	5779	20529
659	5788	20523
660	5798	20519
661	5806	20508
662	5813	20492
663	5820	20477
664	5829	20467
665	5836	20455
666	5844	20444
667	5856	20443
668	5867	20442
669	5876	20437
670	5884	20424
671	5893	20415
672	5903	20410
673	5913	20406
674	5919	20388
675	5926	20375
676	5936	20368
677	5945	20361
678	5952	20348
679	5961	20337
680	5967	20320
681	5975	20309
682	5986	20307
683	5996	20304
684	6004	20293
685	6015	20290
686	6023	20280
687	6031	20267
688	6038	20253
689	6046	20242
690	6055	20233
691	6065	20231
692	6073	20217
693	6081	20207
694	6090	20198
695	6099	20191
696	6109	20185
697	6117	20175
698	6123	20159
699	6131	20147
700	6140	20137
701	6158	20161
702	6169	20158
703	6178	20150
704	6188	20145
705	6194	20128
706	6201	20113
707	6207	20096
708	6214	20080
709	6224	20074
710	6232	20064
711	6239	20050
712	6248	20041
713	6260	20043
714	6270	20039
715	6281	20038
716	6289	20024
717	6296	20011
718	6306	20007
719	6313	19994
720	6321	19981
721	6329	19970
722	6339	19964
723	6350	19962
724	6358	19953
725	6369	19950
726	6377	19939
727	6387	19935
728	6395	19922
729	6403	19912
730	6411	19900
731	6419	19889
732	6429	19885
733	6436	19871
734	6444	19859
735	6451	19846
736	6463	19845
737	6474	19845
738	6481	19831
739	6490	19822
740	6503	19824
741	6513	19822
742	6522	19814
743	6531	19804
744	6540	19798
745	6549	19789
746	6557	19776
747	6564	19763
748	6573	19754
749	6582	19746
750	6588	19731
751	6597	19723
752	6605	19710
753	6612	19698
754	6621	19690
755	6630	19680
756	6638	19671
757	6645	19654
758	6651	19640
759	6660	19631
760	6670	19626
761	6678	19614
762	6685	19601
763	6694	19593
764	6703	19585
765	6711	19574
766	6722	19571
767	6729	19557
768	6737	19547
769	6745	19536
770	6756	19532
771	6763	19518
772	6770	19505
773	6782	19505
774	6788	19489
775	6797	19480
776	6803	19465
777	6812	19455
778	6821	19448
779	6828	19435
780	6838	19428
781	6847	19421
782	6854	19406
783	6865	19404
784	6875	19398
785	6884	19391
786	6899	19400
787	6908	19394
788	6917	19383
789	6924	19372
790	6934	19365
791	6945	19363
792	6952	19350
793	6959	19336
794	6967	19325
795	6976	19316
796	6983	19303
797	6990	19289
798	6997	19276
799	7007	19269
800	7018	19266
801	7028	19262
802	7035	19249
803	7044	19240
804	7055	19238
805	7062	19223
806	7070	19212
807	7077	19200
808	7087	19195
809	7099	19194
810	7108	19186
811	7116	19175
812	7124	19164
813	7132	19155
814	7143	19152
815	7152	19144
816	7160	19131
817	7167	19118
818	7177	19113
819	7186	19106
820	7196	19100
821	7203	19087
822	7210	19073
823	7220	19066
824	7228	19056
825	7235	19043
826	7243	19033
827	7250	19019
828	7261	19016
829	7269	19004
830	7277	18995
831	7286	18987
832	7295	18978
833	7303	18968
834	7311	18956
835	7319	18945
836	7327	18935
837	7337	18929
838	7345	18919
839	7352	18906
840	7362	18899
841	7370	18891
842	7385	18896
843	7393	18886
844	7401	18876
845	7408	18863
846	7418	18857
847	7426	18847
848	7433	18832
849	7443	18828
850	7453	18822
851	7463	18815
852	7470	18803
853	7480	18798
854	7494	18802
855	7504	18796
856	7512	18786
857	7521	18778
858	7529	18767
859	7538	18759
860	7547	18751
861	7555	18738
862	7562	18726
863	7572	18720
864	7580	18709
865	7589	18700
866	7596	18690
867	7605	18679
868	7614	18672
869	7622	18661
870	7629	18649
871	7637	18637
872	7657	18657
873	7666	18648
874	7672	18633
875	7682	18626
876	7691	18620
877	7700	18610
878	7707	18598
879	7715	18586
880	7721	18571
881	7729	18562
882	7739	18555
883	7748	18547
884	7756	18536
885	7764	18526
886	7774	18519
887	7787	18522
888	7795	18510
889	7807	18510
890	7816	18501
891	7823	18488
892	7833	18483
893	7841	18473
894	7851	18466
895	7860	18458
896	7871	18453
897	7880	18445
898	7891	18441
899	7897	18428
900	7906	18418
901	7917	18414
902	7924	18403
903	7936	18401
904	7943	18388
905	7953	18382
906	7960	18370
907	7969	18361
908	7977	18351
909	7985	18341
910	7994	18332
911	8003	18322
912	8012	18314
913	8024	18315
914	8033	18305
915	8041	18295
916	8053	18292
917	8060	18280
918	8067	18268
919	8076	18259
920	8089	18261
921	8096	18247
922	8104	18236
923	8111	18224
924	8121	18218
925	8130	18210
926	8138	18198
927	8145	18187
928	8152	18174
929	8162	18168
930	8174	18166
931	8183	18157
932	8191	18147
933	8199	18137
934	8213	18141
935	8221	18128
936	8227	18114
937	8233	18100
938	8241	18089
939	8256	18093
940	8266	18088
941	8277	18084
942	8289	18081
943	8296	18068
944	8306	18063
945	8314	18052
946	8320	18038
947	8330	18032
948	8338	18020
949	8346	18010
950	8352	17996
951	8360	17984
952	8370	17980
953	8379	17971
954	8394	17976
955	8403	17967
956	8414	17962
957	8425	17960
958	8435	17953
959	8443	17942
960	8454	17938
961	8463	17928
962	8470	17917
963	8480	17910
964	8488	17901
965	8499	17896
966	8507	17885
967	8515	17875
968	8522	17862
969	8533	17857
970	8542	17850
971	8551	17841
972	8560	17834
973	8570	17827
974	8580	17820
975	8587	17808
976	8595	17798
977	8605	17792
978	8615	17785
979	8623	17775
980	8630	17763
981	8638	17751
982	8648	17746
983	8656	17736
984	8664	17724
985	8672	17714
986	8679	17702
987	8689	17694
988	8698	17687
989	8706	17677
990	8715	17668
991	8726	17663
992	8735	17656
993	8743	17644
994	8750	17633
995	8759	17623
996	8774	17627
997	8782	17618
998	8791	17609
999	8801	17603
1000	8810	17594
1001	8820	17588
1002	8831	17584
1003	8843	17581
1004	8855	17578
1005	8864	17569
1006	8872	17560
1007	8883	17556
1008	8890	17543
1009	8898	17532
1010	8909	17527
1011	8917	17517
1012	8927	17510
1013	8935	17501
1014	8944	17492
1015	8954	17486
1016	8964	17479
1017	8974	17473
1018	8985	17469
1019	8994	17460
1020	9004	17453
1021	9012	17442
1022	9020	17432
1023	9031	17428
1024	9042	17422
1025	9048	17409
1026	9056	17398
1027	9064	17387
1028	9074	17381
1029	9086	17379
1030	9096	17372
1031	9105	17363
1032	9114	17355
1033	9124	17348
