연도,행정동코드,행정동명,업종,예측_총매출,순위
2025,11110515,청운효자동,한식음식점,6181712150.492855,1.0
2025,11110515,청운효자동,커피-음료,4762091615.745093,2.0
2025,11110515,청운효자동,조명용품,4608279302.272229,3.0
2025,11110515,청운효자동,서적,3394096861.878028,4.0
2025,11110515,청운효자동,양식음식점,3045002694.0998383,5.0
2025,11110515,청운효자동,슈퍼마켓,1964775042.851214,6.0
2025,11110515,청운효자동,의료기기,1692900617.752559,7.0
2025,11110515,청운효자동,편의점,1628358874.583239,8.0
2025,11110515,청운효자동,컴퓨터및주변장치판매,1448529214.8489141,9.0
2025,11110515,청운효자동,운동/경기용품,1170038658.3673935,10.0
2025,11110515,청운효자동,호프-간이주점,1114767256.2886631,11.0
2025,11110515,청운효자동,스포츠클럽,1091831108.689191,12.0
2025,11110515,청운효자동,분식전문점,958286042.7144647,13.0
2025,11110515,청운효자동,화장품,932426153.1251395,14.0
2025,11110515,청운효자동,의약품,833853608.2237839,15.0
2025,11110515,청운효자동,청과상,805620634.5846149,16.0
2025,11110515,청운효자동,치과의원,633090439.6762292,17.0
2025,11110515,청운효자동,일반교습학원,605658614.3105634,18.0
2025,11110515,청운효자동,패스트푸드점,558810050.5312209,19.0
2025,11110515,청운효자동,제과점,558656320.2388282,20.0
2025,11110515,청운효자동,가전제품,548183198.5496644,21.0
2025,11110515,청운효자동,일반의원,526550476.9810555,22.0
2025,11110515,청운효자동,한의원,522259432.1992822,23.0
2025,11110515,청운효자동,치킨전문점,481410524.2363922,24.0
2025,11110515,청운효자동,중식음식점,460627071.75010407,25.0
2025,11110515,청운효자동,반찬가게,459269033.9660202,26.0
2025,11110515,청운효자동,일반의류,444290106.20925725,27.0
2025,11110515,청운효자동,피부관리실,423155163.86785954,28.0
2025,11110515,청운효자동,부동산중개업,411920118.6780483,29.0
2025,11110515,청운효자동,육류판매,404652713.9701919,30.0
2025,11110515,청운효자동,일식음식점,399741888.0207654,31.0
2025,11110515,청운효자동,철물점,328356147.84736687,32.0
2025,11110515,청운효자동,자동차수리,305084680.8315672,33.0
2025,11110515,청운효자동,화초,304065476.3386686,34.0
2025,11110515,청운효자동,자전거 및 기타운송장비,301277511.1137589,35.0
2025,11110515,청운효자동,섬유제품,295180393.4513142,36.0
2025,11110515,청운효자동,자동차미용,289430172.3656365,37.0
2025,11110515,청운효자동,전자상거래업,277811682.3174497,38.0
2025,11110515,청운효자동,스포츠 강습,277617111.5509175,39.0
2025,11110515,청운효자동,인테리어,272478283.1721524,40.0
2025,11110515,청운효자동,미용실,270341259.88486123,41.0
2025,11110515,청운효자동,애완동물,238405875.03301534,42.0
2025,11110515,청운효자동,외국어학원,237668882.48732558,43.0
2025,11110515,청운효자동,핸드폰,194704186.0046392,44.0
2025,11110515,청운효자동,여관,190837447.1065494,45.0
2025,11110515,청운효자동,노래방,185492366.6139752,46.0
2025,11110515,청운효자동,안경,174692250.97291327,47.0
2025,11110515,청운효자동,완구,150819710.72709775,48.0
2025,11110515,청운효자동,가구,128582525.20625576,49.0
2025,11110515,청운효자동,PC방,122672555.46054465,50.0
2025,11110515,청운효자동,예술학원,113733904.1926233,51.0
2025,11110515,청운효자동,수산물판매,105489902.37069564,52.0
2025,11110515,청운효자동,문구,99290757.22460641,53.0
2025,11110515,청운효자동,신발,94573389.37449975,54.0
2025,11110515,청운효자동,세탁소,92621999.04441494,55.0
2025,11110515,청운효자동,골프연습장,87995608.54990102,56.0
2025,11110515,청운효자동,네일숍,64968603.80003161,57.0
2025,11110515,청운효자동,미곡판매,63182601.96952338,58.0
2025,11110515,청운효자동,당구장,52618538.81395945,59.0
2025,11110515,청운효자동,가방,50713658.21272171,60.0
2025,11110515,청운효자동,고시원,28186857.207695395,61.0
2025,11110515,청운효자동,가전제품수리,27510806.33136206,62.0
2025,11110515,청운효자동,시계및귀금속,18553145.910267755,63.0
2025,11110530,사직동,한식음식점,36813943020.59618,1.0
2025,11110530,사직동,커피-음료,8036125915.679875,2.0
2025,11110530,사직동,조명용품,5542213808.523246,3.0
2025,11110530,사직동,양식음식점,5054788751.823603,4.0
2025,11110530,사직동,호프-간이주점,4581515940.567689,5.0
2025,11110530,사직동,일식음식점,3448908740.2865953,6.0
2025,11110530,사직동,편의점,2817305405.963872,7.0
2025,11110530,사직동,자동차미용,2625729783.5128293,8.0
2025,11110530,사직동,문구,2610681715.5595903,9.0
2025,11110530,사직동,중식음식점,2376109505.538509,10.0
2025,11110530,사직동,슈퍼마켓,2346465989.5406046,11.0
2025,11110530,사직동,철물점,2220572631.329832,12.0
2025,11110530,사직동,화장품,2216018570.1047354,13.0
2025,11110530,사직동,의료기기,2184012544.3969088,14.0
2025,11110530,사직동,분식전문점,2180656254.4184504,15.0
2025,11110530,사직동,컴퓨터및주변장치판매,1818563935.3212626,16.0
2025,11110530,사직동,일반의원,1815507280.7486696,17.0
2025,11110530,사직동,제과점,1559398883.9166775,18.0
2025,11110530,사직동,스포츠클럽,1516202441.63998,19.0
2025,11110530,사직동,치과의원,1497002721.720157,20.0
2025,11110530,사직동,일반의류,1272505196.0481489,21.0
2025,11110530,사직동,운동/경기용품,1246630903.1057107,22.0
2025,11110530,사직동,청과상,1039867443.6683639,23.0
2025,11110530,사직동,패스트푸드점,960288997.5716723,24.0
2025,11110530,사직동,치킨전문점,816818059.2241483,25.0
2025,11110530,사직동,한의원,791339331.8469489,26.0
2025,11110530,사직동,서적,783846652.3979447,27.0
2025,11110530,사직동,일반교습학원,769760777.0070562,28.0
2025,11110530,사직동,부동산중개업,717872443.8030797,29.0
2025,11110530,사직동,육류판매,665308152.1299043,30.0
2025,11110530,사직동,스포츠 강습,628554692.0679162,31.0
2025,11110530,사직동,반찬가게,600602810.3282139,32.0
2025,11110530,사직동,가전제품,599046343.9283994,33.0
2025,11110530,사직동,의약품,594925238.5343889,34.0
2025,11110530,사직동,피부관리실,523841279.5541063,35.0
2025,11110530,사직동,자동차수리,519811973.85607195,36.0
2025,11110530,사직동,자전거 및 기타운송장비,479591077.9479595,37.0
2025,11110530,사직동,인테리어,403907826.351891,38.0
2025,11110530,사직동,섬유제품,389150219.9391135,39.0
2025,11110530,사직동,미용실,353658199.9229888,40.0
2025,11110530,사직동,화초,348369233.45814705,41.0
2025,11110530,사직동,외국어학원,327623850.5661836,42.0
2025,11110530,사직동,애완동물,283819171.59651333,43.0
2025,11110530,사직동,안경,283400064.28066355,44.0
2025,11110530,사직동,전자상거래업,270964341.39662355,45.0
2025,11110530,사직동,노래방,249999509.0485084,46.0
2025,11110530,사직동,완구,248390139.5226894,47.0
2025,11110530,사직동,미곡판매,226205807.44086546,48.0
2025,11110530,사직동,예술학원,214871009.10944414,49.0
2025,11110530,사직동,핸드폰,208395848.10636157,50.0
2025,11110530,사직동,신발,196016335.03671014,51.0
2025,11110530,사직동,여관,139998191.35534203,52.0
2025,11110530,사직동,골프연습장,137556153.3895057,53.0
2025,11110530,사직동,가구,135322282.68237886,54.0
2025,11110530,사직동,PC방,129412312.93666774,55.0
2025,11110530,사직동,수산물판매,120878414.07562695,56.0
2025,11110530,사직동,고시원,118091648.2055048,57.0
2025,11110530,사직동,가전제품수리,117415597.32917146,58.0
2025,11110530,사직동,네일숍,113014286.20553622,59.0
2025,11110530,사직동,시계및귀금속,110867328.41479957,60.0
2025,11110530,사직동,세탁소,99435090.73835796,61.0
2025,11110530,사직동,당구장,66887651.50846559,62.0
2025,11110530,사직동,가방,55642525.49023511,63.0
2025,11110540,삼청동,한식음식점,9127082556.9173,1.0
2025,11110540,삼청동,일반의류,8446520387.222644,2.0
2025,11110540,삼청동,커피-음료,7048498412.539378,3.0
2025,11110540,삼청동,조명용품,6019046913.359302,4.0
2025,11110540,삼청동,양식음식점,4080119557.547336,5.0
2025,11110540,삼청동,문구,2383238838.5713177,6.0
