연도,행정동코드,행정동명,업종,예측_총매출,순위
2025,11110515,청운효자동,한식음식점,3756979072.8363333,1.0
2025,11110515,청운효자동,양식음식점,2402639623.216213,2.0
2025,11110515,청운효자동,슈퍼마켓,1855068625.5077405,3.0
2025,11110515,청운효자동,일반의원,1854657584.071327,4.0
2025,11110515,청운효자동,의약품,1636408881.4636297,5.0
2025,11110515,청운효자동,편의점,1636408881.4636297,5.0
2025,11110515,청운효자동,서적,1428063521.158833,7.0
2025,11110515,청운효자동,일반의류,1129592285.5350065,8.0
2025,11110515,청운효자동,제과점,1089403622.9846618,9.0
2025,11110515,청운효자동,커피-음료,853071868.2047276,10.0
2025,11110515,청운효자동,청과상,568834811.984318,11.0
2025,11110515,청운효자동,일반교습학원,482613333.37204504,12.0
2025,11110515,청운효자동,일식음식점,469910631.7980486,13.0
2025,11110515,청운효자동,치과의원,448813746.9072921,14.0
2025,11110515,청운효자동,호프-간이주점,373538647.1224537,15.0
2025,11110515,청운효자동,육류판매,359200627.8570287,16.0
2025,11110515,청운효자동,반찬가게,292771107.2150303,17.0
2025,11110515,청운효자동,고시원,291849333.39557064,18.0
2025,11110515,청운효자동,중식음식점,200694011.249604,19.0
2025,11110515,청운효자동,화초,188591426.52644706,20.0
2025,11110515,청운효자동,부동산중개업,182018973.49225283,21.0
2025,11110515,청운효자동,섬유제품,158366148.60325766,22.0
2025,11110515,청운효자동,노래방,137712559.9668846,23.0
2025,11110515,청운효자동,당구장,133785633.95969486,24.0
2025,11110515,청운효자동,예술학원,129999199.95955968,25.0
2025,11110515,청운효자동,한의원,126607754.24053955,26.0
2025,11110515,청운효자동,세탁소,126375832.6623044,27.0
2025,11110515,청운효자동,네일숍,115384779.8566413,28.0
2025,11110515,청운효자동,패스트푸드점,108526902.308604,29.0
2025,11110515,청운효자동,분식전문점,107545177.67145777,30.0
2025,11110515,청운효자동,스포츠 강습,103093455.85578895,31.0
2025,11110515,청운효자동,전자상거래업,98485091.07580185,32.0
2025,11110515,청운효자동,핸드폰,89758857.87464333,33.0
2025,11110515,청운효자동,치킨전문점,85610365.80013108,34.0
2025,11110515,청운효자동,피부관리실,73212919.00817943,35.0
2025,11110515,청운효자동,가전제품수리,72733025.81127381,36.0
2025,11110515,청운효자동,자동차미용,69309310.39845014,37.0
2025,11110515,청운효자동,인테리어,58923776.247891426,38.0
2025,11110515,청운효자동,문구,54650530.50274348,39.0
2025,11110515,청운효자동,미용실,37947051.984400034,40.0
2025,11110515,청운효자동,철물점,35186673.63530731,41.0
2025,11110515,청운효자동,시계및귀금속,34117156.33290744,42.0
2025,11110515,청운효자동,가방,30878096.001339436,43.0
2025,11110515,청운효자동,신발,25475994.77979064,44.0
2025,11110515,청운효자동,자전거 및 기타운송장비,22975097.74587083,45.0
2025,11110515,청운효자동,자동차수리,-44500078.49739194,46.0
2025,11110515,청운효자동,안경,-59669807.59982133,47.0
2025,11110515,청운효자동,미곡판매,-64149697.38529396,48.0
2025,11110515,청운효자동,스포츠클럽,-70889524.45298314,49.0
2025,11110515,청운효자동,외국어학원,-74530894.38171911,50.0
2025,11110515,청운효자동,조명용품,-102376976.54898,51.0
2025,11110515,청운효자동,화장품,-140133685.3995576,52.0
2025,11110515,청운효자동,여관,-157188510.81263995,53.0
2025,11110515,청운효자동,골프연습장,-158960498.356601,54.0
2025,11110515,청운효자동,가구,-184887172.65049148,55.0
2025,11110515,청운효자동,의료기기,-258491070.64667177,56.0
2025,11110515,청운효자동,애완동물,-473668290.723696,57.0
2025,11110515,청운효자동,완구,-594142580.7743196,58.0
2025,11110515,청운효자동,수산물판매,-681752851.8540816,59.0
2025,11110515,청운효자동,가전제품,-842626687.3207612,60.0
2025,11110515,청운효자동,PC방,-944183545.5409985,61.0
2025,11110515,청운효자동,운동/경기용품,-1386326848.664237,62.0
2025,11110515,청운효자동,컴퓨터및주변장치판매,-1995701799.2926888,63.0
2025,11110530,사직동,한식음식점,13514230610.531525,1.0
2025,11110530,사직동,일반의류,6678545913.590917,2.0
2025,11110530,사직동,편의점,6420121314.563728,3.0
2025,11110530,사직동,슈퍼마켓,5643978739.054316,4.0
2025,11110530,사직동,일반의원,5643567697.617903,5.0
2025,11110530,사직동,치과의원,4655098478.354218,6.0
2025,11110530,사직동,반찬가게,3644146544.9966483,7.0
2025,11110530,사직동,커피-음료,3406359429.894068,8.0
2025,11110530,사직동,호프-간이주점,3330263803.4553237,9.0
2025,11110530,사직동,제과점,3294478899.35248,10.0
2025,11110530,사직동,한의원,3088083962.9210577,11.0
2025,11110530,사직동,화장품,2748133784.934038,12.0
2025,11110530,사직동,의료기기,2427454427.64591,13.0
2025,11110530,사직동,미용실,2341067475.315757,14.0
2025,11110530,사직동,분식전문점,2341067475.315757,14.0
2025,11110530,사직동,양식음식점,2095409850.821402,16.0
2025,11110530,사직동,중식음식점,2021799834.952188,17.0
2025,11110530,사직동,일식음식점,1791737995.2957416,18.0
2025,11110530,사직동,패스트푸드점,1525907819.5470216,19.0
2025,11110530,사직동,문구,1500295136.8633027,20.0
2025,11110530,사직동,자동차수리,1421999674.0120862,21.0
2025,11110530,사직동,스포츠클럽,1370351678.400738,22.0
2025,11110530,사직동,일반교습학원,1298628590.574374,23.0
2025,11110530,사직동,의약품,1066700069.3519427,24.0
2025,11110530,사직동,육류판매,1014779623.6288636,25.0
2025,11110530,사직동,네일숍,293461717.1808202,26.0
2025,11110530,사직동,애완동물,260777445.63286972,27.0
2025,11110530,사직동,스포츠 강습,239789148.4704988,28.0
2025,11110530,사직동,가전제품,234325931.8377087,29.0
2025,11110530,사직동,세탁소,225831199.2421751,30.0
2025,11110530,사직동,가전제품수리,220202642.6603105,31.0
2025,11110530,사직동,자동차미용,218483950.0346806,32.0
2025,11110530,사직동,당구장,218163977.3532238,33.0
2025,11110530,사직동,핸드폰,212539917.21260214,34.0
2025,11110530,사직동,예술학원,206594929.33467937,35.0
2025,11110530,사직동,노래방,193190897.02996063,36.0
2025,11110530,사직동,컴퓨터및주변장치판매,179193268.62735033,37.0
2025,11110530,사직동,안경,159005379.38680816,38.0
2025,11110530,사직동,청과상,130969919.86593723,39.0
2025,11110530,사직동,신발,129517654.31401277,40.0
2025,11110530,사직동,미곡판매,117567485.00047278,41.0
2025,11110530,사직동,조명용품,96979232.77025366,42.0
2025,11110530,사직동,치킨전문점,86628664.5994823,43.0
2025,11110530,사직동,가방,85217159.68995428,44.0
2025,11110530,사직동,고시원,67528003.18041348,45.0
2025,11110530,사직동,전자상거래업,64110787.55435181,46.0
2025,11110530,사직동,화초,55777273.87396479,47.0
2025,11110530,사직동,서적,49689798.62583351,48.0
2025,11110530,사직동,자전거 및 기타운송장비,22197136.43163252,49.0
2025,11110530,사직동,운동/경기용품,10260881.573484898,50.0
2025,11110530,사직동,여관,7321177.354783535,51.0
2025,11110530,사직동,철물점,-11087011.688720703,52.0
2025,11110530,사직동,시계및귀금속,-53136174.641975164,53.0
2025,11110530,사직동,골프연습장,-64204291.35755658,54.0
2025,11110530,사직동,가구,-70563521.43093038,55.0
2025,11110530,사직동,수산물판매,-73814581.59558177,56.0
2025,11110530,사직동,인테리어,-77301445.84620714,57.0
2025,11110530,사직동,피부관리실,-94030800.4864695,58.0
2025,11110530,사직동,PC방,-284795345.57072854,59.0
2025,11110530,사직동,섬유제품,-353656751.83398104,60.0
2025,11110530,사직동,부동산중개업,-360534575.58922935,61.0
2025,11110530,사직동,완구,-512773209.85947037,62.0
2025,11110530,사직동,외국어학원,-1457900736.6599607,63.0
2025,11110540,삼청동,한식음식점,8473362209.666796,1.0
2025,11110540,삼청동,일반의류,3993364244.0190644,2.0
2025,11110540,삼청동,양식음식점,3332967954.477311,3.0
2025,11110540,삼청동,편의점,2996879596.099518,4.0
2025,11110540,삼청동,제과점,2203690387.065567,5.0
2025,11110540,삼청동,커피-음료,2058883016.0289292,6.0
2025,11110540,삼청동,분식전문점,1708023393.762015,7.0
2025,11110540,삼청동,화장품,1421354788.369658,8.0
2025,11110540,삼청동,슈퍼마켓,827404688.6367551,9.0
2025,11110540,삼청동,일반의원,667893328.1723088,10.0
2025,11110540,삼청동,가전제품수리,640308256.1029073,11.0
2025,11110540,삼청동,자동차미용,638589563.4772774,12.0
2025,11110540,삼청동,반찬가게,598623613.9983121,13.0
2025,11110540,삼청동,호프-간이주점,582059179.0472119,14.0
2025,11110540,삼청동,시계및귀금속,548763855.9572879,15.0
