iter	RMSE
0	9993481165
1	9988028317
2	9982277775
3	9976917029
4	9971258575
5	9965803657
6	9960750042
7	9955255651
8	9950327961
9	9945235165
10	9940508363
11	9935843341
12	9931186674
13	9926487957
14	9921728782
15	9917547005
16	9912761778
17	9908148999
18	9903736815
19	9899376108
20	9889420437
21	9884290633
22	9879232972
23	9870512081
24	9865572208
25	9860565306
26	9855823400
27	9850804825
28	9846080218
29	9841569532
30	9837016545
31	9832459547
32	9828112540
33	9824194763
34	9819932441
35	9815559857
36	9810721037
37	9807003919
38	9802744811
39	9798804017
40	9795051188
41	9787754952
42	9784165875
43	9780402584
44	9776909889
45	9773307978
46	9769825717
47	9766438795
48	9762819385
49	9759507519
50	9756316398
51	9753062696
52	9749612316
53	9745971506
54	9743108225
55	9740018747
56	9733424070
57	9730502816
58	9727649093
59	9724817050
60	9722019955
61	9719290494
62	9716714134
63	9710158072
64	9707336008
65	9704852825
66	9702168142
67	9699572075
68	9695905735
69	9693170888
70	9691155793
71	9688360400
72	9684296325
73	9681559488
74	9679119765
75	9676649605
76	9671105332
77	9668676082
78	9666104918
79	9659802836
80	9656411274
81	9652710711
82	9649224121
83	9647177545
84	9644794060
85	9643028780
86	9641086098
87	9639641948
88	9634052220
89	9631752094
90	9629756324
91	9627974610
92	9625576094
93	9623199711
94	9620805894
95	9619447901
96	9617328895
97	9614384562
98	9612593398
99	9610965029
100	9608486570
101	9601058584
102	9599518102
103	9596873141
104	9594484724
105	9591792210
106	9590179586
107	9588510091
108	9582614765
109	9581312399
110	9576844938
111	9574080290
112	9572606128
113	9570259044
114	9567564306
115	9565838690
116	9564330268
117	9562069809
118	9560486468
119	9559024177
120	9557506045
121	9555975426
122	9554530809
123	9549400932
124	9548093462
125	9546187084
126	9544451246
127	9542208602
128	9539836600
129	9538287629
130	9535995200
131	9533370110
132	9531877569
133	9526919538
134	9525202968
135	9524298933
136	9523183287
137	9522059426
138	9521052777
139	9515815427
140	9513385581
141	9510598336
142	9508908417
143	9506945688
144	9505888273
145	9504645423
146	9503874549
147	9502645480
148	9500015585
149	9496702343
150	9493857540
151	9492962354
152	9488019846
153	9485657257
154	9484850585
155	9483884224
156	9479232311
157	9477394885
158	9474753359
159	9473863318
160	9472652758
161	9470217094
162	9469455043
163	9465556920
164	9464486388
165	9463135065
166	9459532578
167	9458473856
168	9457595518
169	9455977928
170	9454290243
171	9452486808
172	9447911544
173	9445680954
174	9444609202
175	9443900213
176	9440568480
177	9439697545
178	9438056593
179	9437127350
180	9433878120
