연도,행정동코드,행정동명,업종,예측_총매출,평균강수량,전년도_총매출,매출증감률_예측,순위
2025,11110515,청운효자동,커피-음료,25042281086.40,4.53,22129858124,13.16,1
2025,11110515,청운효자동,서적,16945172411.98,4.53,17053005856,-0.63,2
2025,11110515,청운효자동,한식음식점,16356610033.92,4.53,14217736458,15.04,3
2025,11110515,청운효자동,양식음식점,11423117169.19,4.53,10769543081,6.07,4
2025,11110515,청운효자동,슈퍼마켓,7034292960.22,4.53,7187144479,-2.13,5
2025,11110515,청운효자동,편의점,6480874970.23,4.53,4645300920,39.51,6
2025,11110515,청운효자동,의약품,3611068446.59,4.53,3325350063,8.59,7
2025,11110515,청운효자동,청과상,3316069739.03,4.53,3267416723,1.49,8
2025,11110515,청운효자동,제과점,2395886918.97,4.53,2209478446,8.44,9
2025,11110515,청운효자동,일반교습학원,2386986715.56,4.53,2418652164,-1.31,10
2025,11110515,청운효자동,분식전문점,2263255085.22,4.53,1901924892,19.00,11
2025,11110515,청운효자동,육류판매,2186400305.18,4.53,1949999945,12.12,12
2025,11110515,청운효자동,일반의원,2009386429.67,4.53,2090421562,-3.88,13
2025,11110515,청운효자동,화초,1764604566.20,4.53,1221226862,44.49,14
2025,11110515,청운효자동,반찬가게,1737328434.16,4.53,1704000000,1.96,15
2025,11110515,청운효자동,일식음식점,1615035880.06,4.53,1496787652,7.90,16
2025,11110515,청운효자동,일반의류,1458246724.20,4.53,1628127230,-10.43,17
2025,11110515,청운효자동,호프-간이주점,1231793921.52,4.53,1195212341,3.06,18
2025,11110515,청운효자동,미용실,1105321652.67,4.53,1084218623,1.95,19
2025,11110515,청운효자동,자동차미용,920426371.48,4.53,908737550,1.29,20
2025,11110515,청운효자동,인테리어,859962434.71,4.53,791313195,8.68,21
2025,11110515,청운효자동,치킨전문점,497576365.92,4.53,482483491,3.13,22
2025,11110515,청운효자동,예술학원,493162086.88,4.53,371384616,32.79,23
2025,11110515,청운효자동,섬유제품,427561682.39,4.53,413835834,3.32,24
2025,11110515,청운효자동,피부관리실,367241276.72,4.53,275051277,33.52,25
